VNF,VNFC,VM,VM#,name,hostname,public_EDNv4_ip,public_EDNv6_ip,public_EDN_port,private_ip,private_port,public_WSN_ip6,public_WSNv4_ip,public_WSN_port,public_SS7_1_ip,public_SS7_1_port,public_SS7_2_ip,public_SS7_2_port,public_RAN_ip,public_RAN_port,flavor,image_id,availability_zone,server_group_name,server_group,route_1,route_2,route_3,route_4,route_5,volume_id,vol_size,volume_id2,vol_size2,volume_id3,vol_size3
RGWCE,CEMTASCluster,CBMTASDB,1,mtascb01,solktxesw0mvvrgw-c-mb-mdb-01,63.50.100.112,2607:f160:8a03:802c:00c0:011e::41,,192.168.10.42,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,dde22c34-717e-4faa-896a-40bd2c7591e8,,,,,
RGWCE,CEMTASCluster,CBMTASDB,2,mtascb02,solktxesw0mvvrgw-c-mb-mdb-02,63.50.100.113,2607:f160:8a03:802c:00c0:011e::42,,192.168.10.43,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,fbffb709-6948-4bfe-8b1e-7a4a9b8de685,,,,,
RGWCE,CEMTASCluster,CBMTASDB,3,mtascb03,solktxesw0mvvrgw-c-mb-mdb-03,63.50.100.114,2607:f160:8a03:802c:00c0:011e::43,,192.168.10.44,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,ccfd3fe6-e1c2-4b32-a677-b84d756e3348,,,,,
RGWCE,CEMTASCluster,CBMTASDB,4,mtascb04,solktxesw0mvvrgw-c-mb-mdb-04,63.50.100.115,2607:f160:8a03:802c:00c0:011e::44,,192.168.10.45,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,9ebad146-32f2-4105-bd60-04f5fb05c89f,,,,,
RGWCE,CEMTASCluster,CBMTASDB,5,mtascb05,solktxesw0mvvrgw-c-mb-mdb-05,63.50.100.116,2607:f160:8a03:802c:00c0:011e::45,,192.168.10.46,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,566912ff-d346-426b-a6db-be1cdde02432,,,,,
RGWCE,CEMTASCluster,CBMTASDB,6,mtascb06,solktxesw0mvvrgw-c-mb-mdb-06,63.50.100.117,2607:f160:8a03:802c:00c0:011e::46,,192.168.10.47,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,6fdde539-b4a6-45d5-ac78-7bd9424fb769,,,,,
RGWCE,CEMTASCluster,CBMTASDB,7,mtascb07,solktxesw0mvvrgw-c-mb-mdb-07,63.50.100.118,2607:f160:8a03:802c:00c0:011e::47,,192.168.10.48,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,e3f31bfb-59f7-4031-9a8d-ab07d4f788dd,,,,,
RGWCE,CEMTASCluster,CBMTASDB,8,mtascb08,solktxesw0mvvrgw-c-mb-mdb-08,63.50.100.119,2607:f160:8a03:802c:00c0:011e::48,,192.168.10.49,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,d1cc95e5-a8ad-401b-afc6-500522644b3d,,,,,
RGWCE,CEMTASCluster,CBMTASDB,9,mtascb09,solktxesw0mvvrgw-c-mb-mdb-09,63.50.100.120,2607:f160:8a03:802c:00c0:011e::49,,192.168.10.50,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,627d0302-f12f-4891-a5a2-df9f4d4d3a3e,,,,,
RGWCE,CEMTASCluster,CBMTASDB,10,mtascb10,solktxesw0mvvrgw-c-mb-mdb-10,63.50.100.121,2607:f160:8a03:802c:00c0:011e::50,,192.168.10.51,,,,,,,,,,,HP16-64-160-0,rgw-mo-couchbase_6.0.4,nova,,56f1c7a1-499d-4b0a-98ad-219975f3c3a1,######Inter-Site Connecvity######\n2607:f160:8a05:8021:e0:11e::/112 via 2607:f160:8a03:802c:00c0:000a::1 dev eth1\n,,,,,0035fd5e-ba03-4263-936f-43ea3bb0da00,,,,,
